iter	MultiClass	Accuracy
239	0.1365232097	0.9698838897
240	0.1365128398	0.9698838897
241	0.1364971402	0.9698838897
242	0.1364855112	0.9698838897
243	0.1364618065	0.9698838897
244	0.1364259193	0.9698838897
245	0.1363957378	0.9698838897
246	0.1363135606	0.9698838897
247	0.136283261	0.9698838897
248	0.1362108277	0.9698838897
249	0.1361887802	0.9698838897
250	0.1361463719	0.9698838897
251	0.1360888642	0.9698838897
252	0.1360206118	0.9698838897
253	0.1360016869	0.9698838897
254	0.1359400878	0.9698838897
255	0.1359120616	0.9698838897
256	0.1359024615	0.9698838897
257	0.1358866353	0.9698838897
258	0.1357520533	0.9698838897
259	0.1356596837	0.9698838897
260	0.1355536242	0.9698838897
261	0.135504171	0.9698838897
262	0.1352972118	0.9698838897
263	0.135276709	0.9698838897
264	0.1352628953	0.9698838897
265	0.1352152873	0.9698838897
266	0.135181998	0.9698838897
267	0.1351759327	0.9698838897
268	0.1349172228	0.9698838897
269	0.134903963	0.9698838897
270	0.134844632	0.9698838897
271	0.1348303926	0.9698838897
272	0.1348194303	0.9698838897
273	0.1343783601	0.9698838897
274	0.1343691843	0.9698838897
275	0.1343462685	0.9698838897
276	0.1343209994	0.9698838897
277	0.1341528141	0.9698838897
278	0.134127215	0.9698838897
279	0.1340409827	0.9698838897
280	0.1337989096	0.9698838897
281	0.1337398848	0.9698838897
282	0.1337218305	0.9698838897
283	0.1336724037	0.9698838897
284	0.1335953368	0.9698838897
285	0.1334662121	0.9698838897
286	0.1334557555	0.9698838897
287	0.1334251819	0.9698838897
288	0.1333890952	0.9698838897
289	0.1333836174	0.9698838897
290	0.133339747	0.9698838897
291	0.1333026325	0.9698838897
292	0.1332589286	0.9698838897
293	0.1332219282	0.9698838897
294	0.1332097531	0.9698838897
295	0.1331789053	0.9698838897
296	0.1331028695	0.9698838897
297	0.1330290791	0.9698838897
298	0.133015715	0.9698838897
299	0.1329880818	0.9698838897
300	0.1329569709	0.9698838897
301	0.1329178747	0.9698838897
302	0.1328625708	0.9698838897
303	0.1327919208	0.9698838897
304	0.1327301202	0.9698838897
305	0.1326744699	0.9698838897
306	0.1326215469	0.9698838897
307	0.1325402129	0.9698838897
308	0.1325301545	0.9698838897
309	0.1323909771	0.9698838897
310	0.1323553031	0.9698838897
311	0.1322883971	0.9698838897
312	0.1322584422	0.9698838897
313	0.1322110602	0.9698838897
314	0.1320826373	0.9698838897
315	0.1320450066	0.9698838897
316	0.1320013548	0.9698838897
317	0.1318866024	0.9698838897
318	0.1318428944	0.9698838897
319	0.1317624724	0.9698838897
320	0.1317547317	0.9698838897
321	0.1317470029	0.9698838897
322	0.1316988935	0.9698838897
323	0.131682409	0.9698838897
324	0.1316647159	0.9698838897
325	0.1316090643	0.9698838897
326	0.1316027743	0.9698838897
